Country,Criteria,Coverage,Year,Migrants_out,Migrants_in,Continent,Population
Germany,Residence,Both,2001,606494.0,879217.0,Europe,82349925.0
Iceland,Residence,Both,2001,4034.0,5002.0,Europe,284968.0
Ireland,Residence,Both,2001,25750.0,64925.0,Europe,3866243.0
Italy,Residence,Both,2001,56077.0,208252.0,Europe,56974100.0
Kazakhstan,Residence,Both,2001,141710.0,54992.0,Asia,14858335.0
Kyrgyz Republic,Residence,Both,2001,31633.0,5048.0,Asia,4945100.0
Latvia,Residence,Both,2001,24539.0,5376.0,Europe,2337170.0
Lithuania,Residence,Both,2001,27841.0,4694.0,Europe,3470818.0
Luxembourg,Residence,Both,2001,8824.0,12135.0,Europe,441525.0
Netherlands,Residence,Both,2001,63318.0,133404.0,Europe,16046180.0
Poland,Residence,Both,2001,23368.0,6625.0,Europe,38248076.0
Portugal,Residence,Both,2001,9800.0,74800.0,Europe,10362722.0
Romania,Residence,Both,2001,12738.0,10350.0,Europe,22131970.0
Russian Federation,Residence,Both,2001,121166.0,193450.0,Europe,145976083.0
Slovak Republic,Residence,Both,2001,1011.0,2023.0,Europe,5378867.0
Slovenia,Residence,Both,2001,4811.0,7803.0,Europe,1992060.0
Sweden,Residence,Both,2001,32141.0,60795.0,Europe,8895960.0
Ukraine,Residence,Both,2001,88804.0,45765.0,Europe,48683865.0
Armenia,Residence,Both,2002,10433.0,1715.0,Asia,3047249.0
Australia,Residence,Both,2002,222940.0,361990.0,Australia,19651400.0
Austria,Residence,Both,2002,74831.0,108125.0,Europe,8081957.0
Azerbaijan,Residence,Both,2002,4320.0,1257.0,Asia,8171950.0
Belarus,Residence,Both,2002,13378.0,18939.0,Europe,9865000.0
Belgium,Residence,Both,2002,75960.0,113857.0,Europe,10332785.0
Croatia,Residence,Both,2002,11767.0,20365.0,Europe,4440000.0
Cyprus,Residence,Both,2002,7485.0,14370.0,Asia,979883.0
Czech Republic,Residence,Both,2002,32389.0,44679.0,Europe,10196916.0
Denmark,Residence,Both,2002,43481.0,52778.0,Europe,5375931.0
Estonia,Residence,Both,2002,2038.0,575.0,Europe,1379350.0
Finland,Residence,Both,2002,12891.0,18113.0,Europe,5200598.0
Germany,Residence,Both,2002,623255.0,842543.0,Europe,82488495.0
Iceland,Residence,Both,2002,4490.0,4215.0,Europe,287523.0
Ireland,Residence,Both,2002,28375.0,61725.0,Europe,3931947.0
Italy,Residence,Both,2002,49383.0,222801.0,Europe,57059007.0
Kazakhstan,Residence,Both,2002,120223.0,59502.0,Asia,14858948.0
Kyrgyz Republic,Residence,Both,2002,32717.0,4893.0,Asia,4990700.0
Latvia,Residence,Both,2002,15836.0,6642.0,Europe,2310173.0
Lithuania,Residence,Both,2002,16719.0,5110.0,Europe,3443067.0
Luxembourg,Residence,Both,2002,9452.0,12101.0,Europe,446175.0
Malta,Residence,Both,2002,96.0,,Europe,395969.0
Netherlands,Residence,Both,2002,66728.0,121250.0,Europe,16148929.0
Norway,Residence,Both,2002,22948.0,40122.0,Europe,4538159.0
Poland,Residence,Both,2002,24532.0,6587.0,Europe,38230364.0
Portugal,Residence,Both,2002,9300.0,79300.0,Europe,10419631.0
Romania,Residence,Both,2002,10814.0,6582.0,Europe,21730496.0
Russian Federation,Residence,Both,2002,106685.0,184612.0,Europe,145306046.0
Slovak Republic,Residence,Both,2002,1411.0,2312.0,Europe,5376912.0
Slovenia,Residence,Both,2002,7269.0,9134.0,Europe,1994530.0
Spain,Residence,Both,2002,36605.0,483260.0,Europe,41431558.0
Sweden,Residence,Both,2002,33009.0,64087.0,Europe,8924958.0
Ukraine,Residence,Both,2002,76264.0,42473.0,Europe,48202500.0
United Kingdom,Residence,Both,2002,305931.0,385901.0,Europe,59370479.0
Armenia,Residence,Both,2003,8482.0,1926.0,Asia,3036420.0
Australia,Residence,Both,2003,224890.0,388450.0,Australia,19895400.0
Austria,Residence,Both,2003,71996.0,111869.0,Europe,8121423.0
Azerbaijan,Residence,Both,2003,3754.0,2500.0,Asia,8234100.0
Belarus,Residence,Both,2003,12986.0,18145.0,Europe,9797000.0
Belgium,Residence,Both,2003,79399.0,112060.0,Europe,10376133.0
Croatia,Residence,Both,2003,6534.0,18455.0,Europe,4440000.0
Cyprus,Residence,Both,2003,4437.0,16779.0,Asia,998150.0
Czech Republic,Residence,Both,2003,34226.0,60015.0,Europe,10193998.0
Denmark,Residence,Both,2003,43466.0,49754.0,Europe,5390574.0
Estonia,Residence,Both,2003,3073.0,967.0,Europe,1370720.0
Finland,Residence,Both,2003,12083.0,17838.0,Europe,5213014.0
Germany,Residence,Both,2003,626330.0,768975.0,Europe,82534176.0
Ireland,Residence,Both,2003,27200.0,58875.0,Europe,3996521.0
Italy,Residence,Both,2003,62970.0,470491.0,Europe,57313203.0
Kazakhstan,Residence,Both,2003,73890.0,68503.0,Asia,14909018.0
Kyrgyz Republic,Residence,Both,2003,21209.0,4483.0,Asia,5043300.0
Latvia,Residence,Both,2003,15647.0,4063.0,Europe,2287955.0
