Country,Criteria,Type,Coverage,Year,Migrants
Luxembourg,Residence,Immigrants,Both,2009,15751
Malta,Residence,Emigrants,Both,2009,3868
Malta,Residence,Immigrants,Both,2009,6161
Netherlands,Residence,Immigrants,Both,2009,122917
Norway,Residence,Emigrants,Both,2009,17072
Norway,Residence,Immigrants,Both,2009,55953
Poland,Residence,Emigrants,Both,2009,229320
Poland,Residence,Immigrants,Both,2009,189166
Portugal,Residence,Emigrants,Both,2009,16899
Portugal,Residence,Immigrants,Both,2009,32307
Romania,Residence,Emigrants,Both,2009,246626
Romania,Residence,Immigrants,Both,2009,8606
Russian Federation,Residence,Emigrants,Both,2009,32458
Russian Federation,Residence,Immigrants,Both,2009,279907
Slovak Republic,Residence,Emigrants,Both,2009,4753
Slovak Republic,Residence,Immigrants,Both,2009,15643
Slovenia,Residence,Emigrants,Both,2009,18788
Slovenia,Residence,Immigrants,Both,2009,30296
Spain,Residence,Emigrants,Both,2009,380121
Spain,Residence,Immigrants,Both,2009,392962
Sweden,Residence,Emigrants,Both,2009,39259
Sweden,Residence,Immigrants,Both,2009,102280
United Kingdom,Residence,Emigrants,Both,2009,368177
United Kingdom,Residence,Immigrants,Both,2009,566514
Austria,Residence,Emigrants,Both,2010,51651
Austria,Residence,Immigrants,Both,2010,70978
Belgium,Residence,Emigrants,Both,2010,66013
Belgium,Residence,Immigrants,Both,2010,135281
Cyprus,Residence,Emigrants,Both,2010,4293
Cyprus,Residence,Immigrants,Both,2010,20206
Czech Republic,Residence,Emigrants,Both,2010,61069
Czech Republic,Residence,Immigrants,Both,2010,48317
Denmark,Residence,Emigrants,Both,2010,41456
Denmark,Residence,Immigrants,Both,2010,52236
Estonia,Residence,Emigrants,Both,2010,5294
Estonia,Residence,Immigrants,Both,2010,2810
Finland,Residence,Emigrants,Both,2010,11905
Finland,Residence,Immigrants,Both,2010,25636
France,Residence,Emigrants,Both,2010,269531
France,Residence,Immigrants,Both,2010,307111
Germany,Residence,Emigrants,Both,2010,252456
Germany,Residence,Immigrants,Both,2010,404055
Greece,Residence,Emigrants,Both,2010,62041
Greece,Residence,Immigrants,Both,2010,60462
Hungary,Residence,Emigrants,Both,2010,13365
Hungary,Residence,Immigrants,Both,2010,25519
Iceland,Residence,Emigrants,Both,2010,5459
Iceland,Residence,Immigrants,Both,2010,3948
Ireland,Residence,Emigrants,Both,2010,78099
Ireland,Residence,Immigrants,Both,2010,52339
Italy,Residence,Emigrants,Both,2010,78771
Italy,Residence,Immigrants,Both,2010,458856
Latvia,Residence,Emigrants,Both,2010,39651
Latvia,Residence,Immigrants,Both,2010,4011
Liechtenstein,Residence,Emigrants,Both,2010,428
Liechtenstein,Residence,Immigrants,Both,2010,591
Lithuania,Residence,Emigrants,Both,2010,83157
Lithuania,Residence,Immigrants,Both,2010,5213
Luxembourg,Residence,Emigrants,Both,2010,9302
Luxembourg,Residence,Immigrants,Both,2010,16962
Malta,Residence,Emigrants,Both,2010,4201
Malta,Residence,Immigrants,Both,2010,4275
Netherlands,Residence,Immigrants,Both,2010,126776
Norway,Residence,Emigrants,Both,2010,25835
Norway,Residence,Immigrants,Both,2010,69214
Poland,Residence,Emigrants,Both,2010,218126
Poland,Residence,Immigrants,Both,2010,155131
Portugal,Residence,Emigrants,Both,2010,23760
Portugal,Residence,Immigrants,Both,2010,27575
Romania,Residence,Emigrants,Both,2010,197985
Romania,Residence,Immigrants,Both,2010,149885
Russian Federation,Residence,Emigrants,Both,2010,33577
Russian Federation,Residence,Immigrants,Both,2010,191656
Slovak Republic,Residence,Emigrants,Both,2010,4447
Slovak Republic,Residence,Immigrants,Both,2010,13770
Slovenia,Residence,Emigrants,Both,2010,15937
Slovenia,Residence,Immigrants,Both,2010,15416
Spain,Residence,Emigrants,Both,2010,403377
Spain,Residence,Immigrants,Both,2010,360705
Sweden,Residence,Emigrants,Both,2010,48890
Sweden,Residence,Immigrants,Both,2010,98801
United Kingdom,Residence,Emigrants,Both,2010,339306
United Kingdom,Residence,Immigrants,Both,2010,590950
Austria,Residence,Emigrants,Both,2011,51197
Austria,Residence,Immigrants,Both,2011,82230
Belgium,Residence,Emigrants,Both,2011,67475
Belgium,Residence,Immigrants,Both,2011,144698
Croatia,Residence,Emigrants,Both,2011,12699
Croatia,Residence,Immigrants,Both,2011,8534
Cyprus,Residence,Emigrants,Both,2011,4895
Cyprus,Residence,Immigrants,Both,2011,23037
Czech Republic,Residence,Emigrants,Both,2011,55910
Czech Republic,Residence,Immigrants,Both,2011,27114
Denmark,Residence,Emigrants,Both,2011,41593
Denmark,Residence,Immigrants,Both,2011,52833
Estonia,Residence,Emigrants,Both,2011,6214
Estonia,Residence,Immigrants,Both,2011,3709
Finland,Residence,Emigrants,Both,2011,12660
Finland,Residence,Immigrants,Both,2011,29481
France,Residence,Emigrants,Both,2011,291594
France,Residence,Immigrants,Both,2011,319816
Germany,Residence,Emigrants,Both,2011,249045
Germany,Residence,Immigrants,Both,2011,489422
Greece,Residence,Emigrants,Both,2011,92404
Greece,Residence,Immigrants,Both,2011,60089
Hungary,Residence,Emigrants,Both,2011,15100
Hungary,Residence,Immigrants,Both,2011,28018
Iceland,Residence,Emigrants,Both,2011,4812
Iceland,Residence,Immigrants,Both,2011,4073
Ireland,Residence,Emigrants,Both,2011,87053
Ireland,Residence,Immigrants,Both,2011,53224
Italy,Residence,Emigrants,Both,2011,82461
Italy,Residence,Immigrants,Both,2011,385793
Latvia,Residence,Emigrants,Both,2011,30311
Latvia,Residence,Immigrants,Both,2011,10234
Liechtenstein,Residence,Emigrants,Both,2011,467
Liechtenstein,Residence,Immigrants,Both,2011,650
Lithuania,Residence,Emigrants,Both,2011,53863
Lithuania,Residence,Immigrants,Both,2011,15685
Luxembourg,Residence,Emigrants,Both,2011,9264
Luxembourg,Residence,Immigrants,Both,2011,20268
Malta,Residence,Emigrants,Both,2011,3806
Malta,Residence,Immigrants,Both,2011,5465
Netherlands,Residence,Immigrants,Both,2011,130118
Norway,Residence,Emigrants,Both,2011,20349
Norway,Residence,Immigrants,Both,2011,70337
Poland,Residence,Emigrants,Both,2011,265798
Poland,Residence,Immigrants,Both,2011,157059
Portugal,Residence,Emigrants,Both,2011,43998
Portugal,Residence,Immigrants,Both,2011,19667
Romania,Residence,Emigrants,Both,2011,195551
Romania,Residence,Immigrants,Both,2011,147685
Slovak Republic,Residence,Emigrants,Both,2011,1863
Slovak Republic,Residence,Immigrants,Both,2011,4829
Slovenia,Residence,Emigrants,Both,2011,12024
Slovenia,Residence,Immigrants,Both,2011,14083
Spain,Residence,Emigrants,Both,2011,409034
Spain,Residence,Immigrants,Both,2011,371331
Sweden,Residence,Emigrants,Both,2011,51224
Sweden,Residence,Immigrants,Both,2011,96467
Switzerland,Residence,Immigrants,Both,2011,148799
"Macedonia, FYR",Residence,Emigrants,Both,2011,1290
"Macedonia, FYR",Residence,Immigrants,Both,2011,1464
United Kingdom,Residence,Emigrants,Both,2011,350703
United Kingdom,Residence,Immigrants,Both,2011,566044
Austria,Residence,Emigrants,Both,2012,51812
Austria,Residence,Immigrants,Both,2012,91557
Belgium,Residence,Emigrants,Both,2012,74720
Belgium,Residence,Immigrants,Both,2012,147387
Bulgaria,Residence,Emigrants,Both,2012,16615
Bulgaria,Residence,Immigrants,Both,2012,14103
Croatia,Residence,Emigrants,Both,2012,12877
Croatia,Residence,Immigrants,Both,2012,8959
Cyprus,Residence,Emigrants,Both,2012,18105
Cyprus,Residence,Immigrants,Both,2012,17476
Czech Republic,Residence,Emigrants,Both,2012,46106
Czech Republic,Residence,Immigrants,Both,2012,34337
Denmark,Residence,Emigrants,Both,2012,43663
Denmark,Residence,Immigrants,Both,2012,54409
Estonia,Residence,Emigrants,Both,2012,6321
Estonia,Residence,Immigrants,Both,2012,2639
Finland,Residence,Emigrants,Both,2012,13845
Finland,Residence,Immigrants,Both,2012,31278
France,Residence,Emigrants,Both,2012,295551
France,Residence,Immigrants,Both,2012,327431
Germany,Residence,Emigrants,Both,2012,240001
Germany,Residence,Immigrants,Both,2012,592175
Greece,Residence,Emigrants,Both,2012,124694
Greece,Residence,Immigrants,Both,2012,58200
Hungary,Residence,Emigrants,Both,2012,22880
Hungary,Residence,Immigrants,Both,2012,33702
Iceland,Residence,Emigrants,Both,2012,4758
Iceland,Residence,Immigrants,Both,2012,4960
Ireland,Residence,Emigrants,Both,2012,89436
Ireland,Residence,Immigrants,Both,2012,54439
Italy,Residence,Emigrants,Both,2012,106216
Italy,Residence,Immigrants,Both,2012,350772
Latvia,Residence,Emigrants,Both,2012,25163
Latvia,Residence,Immigrants,Both,2012,13303
Liechtenstein,Residence,Emigrants,Both,2012,439
Liechtenstein,Residence,Immigrants,Both,2012,671
Lithuania,Residence,Emigrants,Both,2012,41100
Lithuania,Residence,Immigrants,Both,2012,19843
